dataset,analysis,n_landmarks,n_stays,n_event_stays,n_positive_landmarks,landmark_prevalence,bootstrap_replicates,auroc,auprc,brier,brier_null_evaluation_prevalence,brier_skill_evaluation_prevalence,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,brier_ci_low,brier_ci_high,calibration_in_the_large,calibration_in_the_large_ci_low,calibration_in_the_large_ci_high,calibration_intercept,calibration_intercept_ci_low,calibration_intercept_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,n_competing_exits,competing_exit_percent,mean_observed_horizon_hours,complete_horizon_hour6_n,complete_horizon_hour6_auroc,complete_horizon_hour6_auprc
mimic_temporal_test,hour6_prediction_time_identifiable_competing_exit,9535,9535,167,167,0.017514420555846878,500,0.7860211472869801,0.13392498171371034,0.021940059261384287,0.017207665628439808,-0.27501659638963827,0.7518008929732083,0.8174121138108422,0.09544284161558318,0.20006406715734013,0.019835890126833483,0.024421384816369757,-1.3246225312100002,-1.5056178649231142,-1.1436271974968861,-1.8861064699706025,-2.1238800978402654,-1.6483328421009393,0.6854790937654258,0.6005439956067126,0.7704141919241391,277,2.9050865233350813,5.923426294936783,9258,0.7796834007707827,0.1179504714536787
eicu_external,hour6_prediction_time_identifiable_competing_exit,168645,168645,3362,3362,0.019935367191437636,500,0.8257091051047978,0.07897233176035325,0.02010452603643015,0.01953794832638018,-0.028998833479612518,0.8200686788264167,0.8312965921146777,0.07457419743193411,0.08356651918152021,0.01952958883066843,0.020669544868507105,-0.49914487393775614,-0.5359311783725114,-0.46235856950300086,-0.9104897183264168,-0.9822313843652116,-0.838748052287622,0.8476193598254539,0.8264751556467413,0.8687635640041664,10823,6.417622817160307,5.806008182869341,157765,0.8329559141476341,0.0980544424693261
sicdb_external,hour6_prediction_time_identifiable_competing_exit,3997,3997,246,246,0.06154615961971479,500,0.725406558251133,0.1553012415752919,0.055571581449319354,0.05775822985577937,0.03785864649799742,0.6959201406416529,0.7549629516577127,0.1247349503608919,0.20161882668489406,0.04927263419035517,0.06199449033198313,0.308928603179106,0.17287018694829456,0.44498701940991736,-0.12107025335223764,-0.5126429544089577,0.27050244770448245,0.8423628618502459,0.710712333628826,0.9740133900716658,228,5.7042782086564925,5.8641356017012765,3769,0.7203533573797276,0.1601445217006902
