dataset,repeat,strategy,suppression_hours,calibration_alerts_per_100_landmarks,calibration_landmark_sensitivity,threshold,n_evaluation_landmarks,n_evaluation_stays,n_event_stays,landmark_sensitivity,alerts_per_100_landmarks,false_alerts_per_100_landmarks,landmark_ppv,alert_episodes,true_alert_episodes,false_alert_episodes,episodes_per_100_landmarks,false_episodes_per_100_landmarks,event_stay_sensitivity,episode_ppv,n_detected_event_stays_with_lead_time,policy_lead_time_median_hours,policy_lead_time_q1_hours,policy_lead_time_q3_hours
mimic_temporal_test,1,fixed_5_alerts_per_100_calibration_landmarks,6,5.002073563658405,0.2248995983935743,0.08765382319688797,121548,7363,253,0.262,5.18149208543127,4.965939381972554,0.041600508097808825,2260,108,2152,1.8593477473919768,1.7704939612334223,0.4268774703557312,0.047787610619469026,108,1.5961111187934875,0.45319443196058273,2.9561805725097656
mimic_temporal_test,1,fixed_80_percent_calibration_sensitivity,6,49.45927839984687,0.8032128514056225,0.009731638245284557,121548,7363,253,0.834,48.666370487379474,47.9802218053773,0.01409903132554562,13555,227,13328,11.151972883140816,10.965215388159411,0.8972332015810277,0.016746587974917005,227,1.9777777194976807,0.7379166483879089,3.579027771949768
mimic_temporal_test,2,fixed_5_alerts_per_100_calibration_landmarks,6,5.001293995859213,0.17228464419475656,0.09102095663547516,121983,7388,254,0.26883910386965376,4.785912791126632,4.569489191116795,0.045220966084275435,2127,109,2018,1.743685595533804,1.6543288818933786,0.42913385826771655,0.05124588622472966,109,1.3866666555404663,0.41749998927116394,3.0638887882232666
mimic_temporal_test,2,fixed_80_percent_calibration_sensitivity,6,53.62642339544513,0.8014981273408239,0.008317860774695873,121983,7388,254,0.8727087576374746,53.3057885115139,52.6032315978456,0.01317974901574803,14760,238,14522,12.100046727822729,11.904937573268406,0.937007874015748,0.016124661246612465,238,2.0494444370269775,0.7354860901832581,3.4831249713897705
mimic_temporal_test,3,fixed_5_alerts_per_100_calibration_landmarks,6,5.000166228930484,0.216,0.08658953756093979,122816,7418,254,0.2652652652652653,5.3014265242313705,5.0856565919749865,0.04070035324834895,2314,107,2207,1.8841193329859303,1.7969971339239188,0.421259842519685,0.04624027657735523,107,1.7108333110809326,0.4737499952316284,3.1166666746139526
mimic_temporal_test,3,fixed_80_percent_calibration_sensitivity,6,50.2011370058845,0.804,0.009323732927441597,122816,7418,254,0.8358358358358359,49.99185773840542,49.311978895257944,0.013599791524153882,14052,229,13823,11.441505992704533,11.25504820218864,0.9015748031496063,0.016296612581838885,229,2.0833332538604736,0.8500000238418579,3.7108333110809326
mimic_temporal_test,4,fixed_5_alerts_per_100_calibration_landmarks,6,5.000644828475625,0.3386454183266932,0.0823289304971695,121879,7387,255,0.24849699398797595,5.843500521008541,5.640020019855759,0.034821679303566416,2479,106,2373,2.0339845256360816,1.947013021111102,0.41568627450980394,0.042759177087535294,106,1.418749988079071,0.46270832419395447,2.829444468021393
mimic_temporal_test,4,fixed_80_percent_calibration_sensitivity,6,35.66223884446737,0.8047808764940239,0.014598352834582329,121879,7387,255,0.7394789579158316,37.30667301175756,36.70115442364968,0.016230838593327322,10905,213,10692,8.947398649480222,8.772635154538518,0.8352941176470589,0.01953232462173315,213,1.713611125946045,0.715833306312561,3.2783334255218506
mimic_temporal_test,5,fixed_5_alerts_per_100_calibration_landmarks,6,5.000667200427008,0.2886178861788618,0.0933007225394249,122919,7435,255,0.2333000997008973,4.56804887771622,4.377679610149773,0.04167408726625111,2081,103,1978,1.6929848111357886,1.6091897916514126,0.403921568627451,0.049495434887073524,103,1.4108333587646484,0.41652777791023254,2.873611092567444
mimic_temporal_test,5,fixed_80_percent_calibration_sensitivity,6,46.25033360021351,0.8048780487804879,0.01068802084773779,122919,7435,255,0.8145563310069791,46.01729594285668,45.35263059413109,0.01444381585460717,13115,227,12888,10.669627966384367,10.484953505967344,0.8901960784313725,0.017308425467022492,227,2.049999952316284,0.7299999892711639,3.535972237586975
mimic_temporal_test,6,fixed_5_alerts_per_100_calibration_landmarks,6,5.002478110028085,0.3092369477911647,0.08426731079816818,122630,7415,255,0.25,5.582646986871076,5.3787817010519445,0.03651767455448437,2397,107,2290,1.9546603604338253,1.8674060181032375,0.4196078431372549,0.04463913224864414,107,1.4108333587646484,0.46791666746139526,2.8983333110809326
mimic_temporal_test,6,fixed_80_percent_calibration_sensitivity,6,36.73880720303981,0.8032128514056225,0.014122731052339077,122630,7415,255,0.747,38.13096305961021,37.52181358558265,0.01597519247219846,11177,216,10961,9.114409198401695,8.938269591453967,0.8470588235294118,0.019325400375771674,216,1.6734722256660461,0.7292361259460449,3.2920833826065063
mimic_temporal_test,7,fixed_5_alerts_per_100_calibration_landmarks,6,5.002773879842052,0.21621621621621623,0.08324326574802399,122252,7403,253,0.2767676767676768,5.715243922389818,5.49111670974708,0.0392156862745098,2448,111,2337,2.002421228282564,1.9116251676864182,0.43873517786561267,0.04534313725490196,111,1.4108333587646484,0.4170833230018616,2.9920833110809326
mimic_temporal_test,7,fixed_80_percent_calibration_sensitivity,6,49.639395620533236,0.803088803088803,0.009254592470824718,122252,7403,253,0.8404040404040404,50.41062722900239,49.730065765795246,0.013500356980593237,14098,233,13865,11.531917678238393,11.341327749239277,0.9209486166007905,0.01652716697403887,233,1.988611102104187,0.715833306312561,3.591944456100464
mimic_temporal_test,8,fixed_5_alerts_per_100_calibration_landmarks,6,5.001792173091336,0.21518987341772153,0.08981071412563324,122206,7408,255,0.25592885375494073,4.95311195849631,4.741174737737918,0.04278869981827193,2189,109,2080,1.7912377461008462,1.7020440894882412,0.42745098039215684,0.04979442667884879,109,1.5247222185134888,0.4611110985279083,3.0999999046325684
mimic_temporal_test,8,fixed_80_percent_calibration_sensitivity,6,43.504187168040666,0.8016877637130801,0.011598014272749424,122206,7408,255,0.8003952569169961,43.59769569415577,42.93488044776852,0.015202988044069896,12454,222,12232,10.190988985810844,10.00932851087508,0.8705882352941177,0.017825598201381083,222,2.1104166507720947,0.7548611164093018,3.450069487094879
mimic_temporal_test,9,fixed_5_alerts_per_100_calibration_landmarks,6,5.0,0.17269076305220885,0.09297926723957062,122735,7432,255,0.262,4.600969568582719,4.38750152768159,0.04639631662829821,2083,109,1974,1.6971524015154602,1.6083431783924715,0.42745098039215684,0.05232837253960634,109,1.4333332777023315,0.46833333373069763,3.0638887882232666
mimic_temporal_test,9,fixed_80_percent_calibration_sensitivity,6,48.229442970822284,0.8032128514056225,0.010198106057941914,122735,7432,255,0.824,47.25628386360859,46.58491872733939,0.014206896551724139,13432,227,13205,10.943903531999837,10.758952214119851,0.8901960784313725,0.016899940440738535,227,1.988611102104187,0.7415277659893036,3.565416693687439
mimic_temporal_test,10,fixed_5_alerts_per_100_calibration_landmarks,6,5.002829278034817,0.2556390977443609,0.08749526739120483,122852,7451,254,0.254323499491353,5.19649659753199,4.992999706964477,0.039160401002506263,2267,110,2157,1.8453098036662,1.7557711718164946,0.4330708661417323,0.04852227613586237,110,1.510694444179535,0.4811111018061638,2.861180603504181
mimic_temporal_test,10,fixed_80_percent_calibration_sensitivity,6,37.93895416569584,0.8045112781954887,0.014920246787369251,122852,7451,254,0.7273652085452695,35.976622277211604,35.39462117018852,0.016177202588352414,10733,217,10516,8.736528505844431,8.55989320483183,0.8543307086614174,0.020218019193142645,217,1.713611125946045,0.6741666793823242,3.301666736602783
mimic_temporal_test,11,fixed_5_alerts_per_100_calibration_landmarks,6,5.0004908858853945,0.25193798449612403,0.09001819044351578,122338,7405,252,0.2472250252270434,4.916706174696333,4.716441334662983,0.040731504571903575,2168,105,2063,1.7721394824175645,1.686311693831843,0.4166666666666667,0.04843173431734318,105,1.4266666173934937,0.4675000011920929,3.0999999046325684
