dataset,repeats,brier_null_calibration_prevalence_q1,brier_null_calibration_prevalence_median,brier_null_calibration_prevalence_q3,brier_model_uncalibrated_q1,brier_model_uncalibrated_median,brier_model_uncalibrated_q3,brier_skill_uncalibrated_q1,brier_skill_uncalibrated_median,brier_skill_uncalibrated_q3,brier_model_intercept_recalibrated_q1,brier_model_intercept_recalibrated_median,brier_model_intercept_recalibrated_q3,brier_skill_intercept_recalibrated_q1,brier_skill_intercept_recalibrated_median,brier_skill_intercept_recalibrated_q3
mimic_temporal_test,100,0.008033819998531859,0.00811588334977484,0.008196598014345876,0.009474673589834589,0.009576636491557575,0.009659424484569155,-0.18541184530865978,-0.18010437466014817,-0.17380457017471218,0.008013826304018177,0.008102716965224254,0.0081636871465283,-0.000499996807082459,0.002596650726479688,0.006586950293558325
eicu_external,100,0.010924191915491994,0.010949424931104184,0.010973247589357986,0.011062478428207652,0.011093495769385179,0.011119175522814126,-0.01417682300140033,-0.013182953882431958,-0.012343502489036429,0.010662280708471947,0.010691202197180928,0.010713680354788615,0.02293573906095664,0.023626107604991786,0.024109677263678908
sicdb_external,100,0.04633133128165963,0.046635745572417196,0.04686170386313217,0.04498674099087044,0.045282777886449924,0.045496772046829094,0.027577241466610558,0.029123646981164597,0.03134327922486346,0.04479658105229169,0.04513610964975567,0.04535706153619032,0.029897734095971795,0.03239188925646708,0.034964363695581396
